order_item_id,order_id,product_id,quantity,unit_price,discount_amount,total_amount,warehouse_id,delivery_days,returned_flag
1,894,2831,9,368.73,28.33,1445.81,6,5,0
2,286,3276,5,352.63,9.57,2548.74,17,7,0
3,745,2709,3,77.15,26.53,2669.16,18,14,0
4,1662,3120,9,474.39,4.38,1088.61,7,11,0
5,604,464,1,403.94,22.23,1518.77,1,9,0
6,2007,288,2,169.06,12.48,1717.72,7,7,0
7,2698,1368,4,292.32,0.39,2326.78,20,6,0
8,3949,3424,6,363.32,8.68,1383.08,13,6,0
9,3564,4972,3,441.81,12.02,1527.09,6,5,0
10,4166,1482,3,494.69,13.13,232.76,15,9,0
11,4893,1672,9,354.9,5.15,171.97,18,12,0
12,2446,3253,3,294.72,18.5,2221.62,6,11,0
13,2950,3650,5,478.59,25.4,1451.95,18,10,0
14,2348,1770,3,260.38,20.65,278.0,2,4,0
15,3066,782,1,117.84,23.97,730.17,17,14,0
16,3447,25,5,51.75,10.45,2035.23,13,2,0
17,1044,4558,5,83.52,25.33,1519.26,19,1,0
18,971,1226,3,298.04,0.17,2385.01,20,14,0
19,450,1797,9,337.81,24.83,1186.39,15,4,0
20,4441,3249,4,388.11,0.83,354.1,4,14,0
21,3727,2967,3,154.83,19.38,810.04,19,1,0
22,4087,3155,5,188.39,6.18,338.77,13,9,1
23,2319,2869,7,399.41,14.81,1446.62,13,13,0
24,3083,1201,2,77.12,12.13,1427.81,13,13,1
25,4531,4735,5,431.12,28.73,231.3,6,8,0
26,33,3282,3,144.84,9.69,582.57,1,4,0
27,4709,944,9,232.73,19.94,2909.91,15,2,0
28,1405,591,8,117.39,15.51,2950.64,18,14,1
29,4009,1163,9,76.71,11.37,1034.5,6,10,0
30,2551,4317,6,379.0,19.53,442.53,7,10,0
31,331,488,4,397.95,4.19,573.27,10,11,0
32,4087,295,9,165.93,21.98,253.48,11,6,0
33,4921,385,4,451.31,17.59,265.62,8,6,0
34,320,4672,4,340.97,23.11,587.03,1,3,0
35,201,559,2,264.19,22.63,1416.62,16,3,1
36,4683,4067,1,425.06,14.29,2141.48,13,7,1
37,2977,4444,4,439.48,12.55,482.53,17,11,0
38,1057,3888,6,301.72,25.67,1256.66,16,7,0
39,4699,467,4,294.21,27.36,265.74,16,10,0
40,914,3549,4,343.92,12.58,1868.68,8,9,0
41,3390,4086,2,286.75,27.88,1297.82,13,14,1
42,3887,4970,3,291.69,27.64,2400.14,13,6,0
43,1118,4050,3,301.11,3.89,2646.51,17,13,0
44,317,2274,7,164.41,13.93,737.66,8,14,0
45,4432,4499,4,378.08,24.16,1208.76,10,10,0
46,1048,88,3,182.31,4.49,1497.01,20,5,0
47,1729,2370,5,325.6,7.21,2988.93,8,10,0
48,3915,4477,4,364.6,16.6,2747.96,6,9,0
49,4172,2997,1,280.67,3.66,2910.01,8,2,0
50,4378,3273,6,120.27,10.1,1397.53,16,13,0
51,1875,797,5,291.39,15.44,2998.74,12,2,0
52,961,1095,7,409.49,23.74,106.44,19,11,0
