order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_cost,discount,tax_amount,sales_rep_id
1,1447,2023-09-16,Cancelled,Cash,Sylhet,13.17,0.11,10.03,16
2,9,2024-12-14,Returned,Mobile Banking,Sylhet,8.04,0.04,26.99,78
3,3517,2023-09-25,Delivered,Cash,Khulna,37.03,0.28,11.42,65
4,4430,2023-04-23,Returned,Card,Khulna,48.56,0.14,17.88,95
5,2278,2024-08-07,Cancelled,Cash,Dhaka,44.8,0.03,28.53,44
6,393,2024-02-09,Pending,Cash,Sylhet,36.44,0.23,27.16,43
7,1852,2024-02-06,Pending,Card,Dhaka,2.05,0.23,16.35,76
8,779,2023-08-24,Delivered,Cash,Khulna,18.0,0.27,7.72,27
9,3432,2023-01-06,Cancelled,Cash,Chattogram,43.32,0.21,19.62,81
10,1699,2024-08-23,Returned,Card,Rajshahi,33.0,0.02,11.16,80
11,3255,2023-04-24,Delivered,Cash,Rajshahi,11.27,0.17,10.59,1
12,4483,2023-12-31,Pending,Card,Dhaka,23.86,0.12,13.41,30
13,3272,2025-04-26,Cancelled,Card,Khulna,5.31,0.22,28.4,64
14,3253,2023-11-17,Pending,Cash,Rajshahi,26.52,0.18,20.14,37
15,3612,2023-11-07,Cancelled,Cash,Sylhet,45.15,0.22,15.24,23
16,2613,2023-06-17,Pending,Cash,Chattogram,2.9,0.05,36.07,27
17,1846,2025-04-29,Delivered,Card,Khulna,31.08,0.13,28.42,80
18,3509,2023-02-21,Delivered,Card,Dhaka,12.42,0.13,20.04,88
19,3893,2025-06-06,Delivered,Mobile Banking,Khulna,49.53,0.29,17.14,28
20,3112,2023-10-27,Pending,Card,Chattogram,4.19,0.01,32.85,30
21,4318,2025-05-12,Returned,Mobile Banking,Khulna,31.25,0.24,7.33,90
22,1867,2023-03-03,Pending,Card,Dhaka,13.56,0.03,26.73,88
23,1053,2023-03-25,Pending,Cash,Sylhet,44.24,0.02,1.33,95
24,927,2025-01-17,Returned,Cash,Khulna,6.97,0.1,0.77,89
25,3773,2023-12-19,Delivered,Cash,Dhaka,22.03,0.21,37.31,51
26,3043,2025-04-21,Pending,Mobile Banking,Sylhet,10.08,0.2,20.8,2
27,4226,2024-10-30,Pending,Cash,Rajshahi,40.17,0.19,12.95,71
28,2096,2024-05-17,Delivered,Card,Khulna,18.22,0.23,31.89,87
29,3841,2024-10-20,Pending,Cash,Sylhet,10.15,0.07,39.4,93
30,827,2025-06-08,Returned,Cash,Rajshahi,36.57,0.19,1.86,35
31,3488,2024-04-19,Cancelled,Card,Khulna,41.04,0.19,2.0,94
32,4696,2024-09-26,Pending,Mobile Banking,Khulna,23.66,0.2,34.26,29
33,770,2024-05-17,Returned,Cash,Chattogram,19.56,0.18,22.49,31
34,3971,2025-03-09,Delivered,Mobile Banking,Khulna,31.98,0.07,35.37,42
35,457,2024-11-24,Cancelled,Mobile Banking,Khulna,32.92,0.27,27.94,66
36,1073,2023-04-09,Delivered,Cash,Sylhet,33.38,0.29,19.09,51
37,2776,2024-12-02,Delivered,Card,Dhaka,14.51,0.21,6.87,79
38,4631,2023-11-02,Delivered,Mobile Banking,Chattogram,47.12,0.13,15.9,16
39,2484,2025-02-01,Cancelled,Card,Khulna,11.46,0.16,31.59,8
40,2299,2023-11-11,Returned,Mobile Banking,Sylhet,19.33,0.03,9.74,61
41,2972,2024-12-10,Returned,Cash,Sylhet,14.9,0.11,28.64,92
42,3930,2024-03-17,Returned,Card,Dhaka,46.63,0.29,10.27,40
43,4401,2023-09-04,Returned,Card,Rajshahi,41.59,0.16,18.81,81
44,1643,2023-09-22,Cancelled,Mobile Banking,Khulna,40.75,0.17,3.87,57
45,1018,2024-07-22,Delivered,Card,Rajshahi,1.23,0.29,18.47,78
46,4043,2024-02-29,Pending,Cash,Dhaka,34.61,0.27,24.7,85
47,1464,2025-03-05,Cancelled,Card,Sylhet,12.28,0.17,22.75,50
48,1512,2023-02-27,Delivered,Card,Rajshahi,48.42,0.08,16.56,27
49,3474,2025-04-28,Pending,Mobile Banking,Dhaka,27.01,0.04,15.1,85
50,4472,2024-04-28,Delivered,Card,Rajshahi,28.67,0.26,11.38,32
51,3639,2023-11-20,Returned,Card,Sylhet,18.47,0.28,30.8,80
52,1722,2023-07-05,Cancelled,Cash,Khulna,27.3,0.15,31.41,28
53,687,2025-03-02,Cancelled,Card,Chattogram,37.74,0.03,19.58,29
54,4467,2024-05-13,Pending,Cash,Sylhet,28.53,0.18,15.61,49
55,3484,2025-04-27,Cancelled,Card,Rajshahi,32.42,0.11,25.68,36
56,4251,2023-03-03,Delivered,Card,Khulna,24.15,0.05,22.53,24
57,3633,2024-08-15,Delivered,Cash,Chattogram,36.1,0.28,26.86,85
58,4778,2023-09-03,Pending,Card,Dhaka,45.08,0.07,12.59,39
59,3278,2024-05-01,Pending,Card,Khulna,3.5,0.21,31.64,50
60,3940,2025-01-30,Pending,Mobile Banking,Sylhet,6.26,0.13,13.01,8
61,2945,2025-05-18,Pending,Mobile Banking,Rajshahi,34.59,0.25,17.04,92
62,3500,2024-01-08,Returned,Card,Chattogram,19.51,0.21,5.73,82
63,2919,2024-05-29,Delivered,Cash,Khulna,14.8,0.04,34.29,83
64,1445,2025-01-17,Delivered,Mobile Banking,Chattogram,9.75,0.13,25.95,19
65,88,2023-02-20,Delivered,Card,Chattogram,29.06,0.08,9.79,38
66,1530,2024-09-08,Delivered,Mobile Banking,Khulna,18.03,0.21,34.14,44
67,3240,2023-04-09,Returned,Card,Rajshahi,25.89,0.16,28.34,26
68,3186,2023-11-19,Pending,Cash,Dhaka,47.97,0.1,17.97,70
69,13,2024-08-14,Cancelled,Mobile Banking,Khulna,38.16,0.1,39.6,49
70,2929,2024-03-16,Delivered,Mobile Banking,Dhaka,40.0,0.03,13.82,26
71,320,2024-02-08,Cancelled,Card,Chattogram,7.09,0.06,4.43,92
72,4388,2025-03-23,Returned,Cash,Chattogram,16.92,0.21,29.47,32
73,4869,2024-02-21,Returned,Cash,Rajshahi,6.21,0.18,30.4,34
74,1684,2024-11-13,Pending,Cash,Khulna,48.46,0.11,2.83,45
75,2450,2023-06-04,Returned,Card,Khulna,34.43,0.25,32.87,37
76,4254,2024-06-25,Pending,Cash,Sylhet,1.94,0.15,31.15,89
77,384,2024-09-02,Cancelled,Cash,Rajshahi,24.3,0.24,37.22,86
78,4494,2023-05-26,Returned,Card,Khulna,13.91,0.23,5.18,95
79,1097,2023-08-23,Pending,Cash,Chattogram,27.46,0.25,24.23,6
80,970,2024-04-18,Cancelled,Cash,Rajshahi,9.75,0.25,9.17,31
81,2521,2024-02-03,Delivered,Mobile Banking,Sylhet,3.79,0.2,16.28,65
82,3252,2025-05-13,Pending,Cash,Sylhet,16.84,0.22,10.97,9
83,3675,2024-09-02,Pending,Mobile Banking,Chattogram,15.48,0.23,18.25,76
84,194,2024-04-04,Cancelled,Mobile Banking,Khulna,36.13,0.05,4.96,21
85,2845,2024-12-02,Cancelled,Mobile Banking,Chattogram,24.25,0.09,12.49,67
86,4856,2025-02-27,Cancelled,Mobile Banking,Sylhet,15.28,0.03,3.3,42
87,1253,2024-03-08,Cancelled,Cash,Rajshahi,28.95,0.06,19.93,46
