product_id,product_name,category,subcategory,brand,unit_price,cost_price,supplier_id,stock_qty,launch_year
1,Product1,Home,D,BrandA,18.19,56.59,375,885,2019
2,Product2,Fashion,A,BrandY,330.13,188.47,365,881,2021
3,Product3,Beauty,B,BrandX,43.99,291.13,474,246,2025
4,Product4,Electronics,B,BrandZ,129.36,157.82,112,173,2025
5,Product5,Home,D,BrandY,362.35,57.84,478,395,2023
6,Product6,Fashion,D,BrandZ,143.8,97.57,269,8,2023
7,Product7,Home,C,BrandY,258.03,247.39,324,908,2021
8,Product8,Sports,D,BrandY,458.05,106.79,107,447,2025
9,Product9,Electronics,D,BrandX,29.57,217.61,283,787,2020
10,Product10,Beauty,B,BrandX,406.48,233.65,371,570,2022
11,Product11,Sports,A,BrandA,37.31,151.35,168,596,2025
12,Product12,Home,B,BrandY,67.76,235.4,74,661,2020
13,Product13,Fashion,D,BrandY,64.06,96.44,236,320,2024
14,Product14,Electronics,C,BrandX,497.08,155.82,92,999,2021
15,Product15,Beauty,A,BrandZ,94.19,206.59,85,571,2020
16,Product16,Fashion,C,BrandA,448.9,52.09,372,124,2025
17,Product17,Beauty,E,BrandY,495.51,83.54,75,40,2022
18,Product18,Electronics,C,BrandX,194.97,196.31,84,336,2022
19,Product19,Home,C,BrandY,317.37,197.3,245,684,2018
20,Product20,Beauty,D,BrandX,390.65,149.0,228,771,2025
21,Product21,Electronics,D,BrandA,199.36,239.08,83,325,2020
22,Product22,Beauty,D,BrandZ,85.1,145.65,500,684,2021
23,Product23,Fashion,D,BrandY,219.71,264.63,394,185,2018
24,Product24,Beauty,D,BrandY,387.08,221.3,15,240,2020
25,Product25,Fashion,C,BrandA,391.48,95.78,493,338,2023
26,Product26,Fashion,E,BrandZ,119.12,119.79,301,93,2022
27,Product27,Electronics,D,BrandY,91.61,200.97,181,918,2021
28,Product28,Sports,E,BrandA,460.68,268.55,338,415,2025
29,Product29,Beauty,E,BrandY,26.78,55.26,263,62,2025
30,Product30,Home,B,BrandY,368.7,155.37,414,732,2023
31,Product31,Fashion,B,BrandA,27.98,37.4,78,519,2020
32,Product32,Sports,A,BrandA,419.76,85.28,229,724,2025
33,Product33,Fashion,B,BrandX,453.18,206.42,233,208,2025
34,Product34,Sports,D,BrandX,152.22,25.16,30,208,2025
35,Product35,Sports,E,BrandY,41.6,199.38,374,375,2022
36,Product36,Home,A,BrandA,242.94,270.44,155,84,2022
37,Product37,Sports,B,BrandZ,152.74,290.87,305,206,2023
38,Product38,Home,C,BrandZ,211.48,66.56,185,346,2020
39,Product39,Electronics,A,BrandY,334.17,225.17,448,664,2020
40,Product40,Fashion,D,BrandX,108.86,278.06,357,160,2025
41,Product41,Home,E,BrandA,181.69,29.23,447,449,2021
42,Product42,Fashion,D,BrandA,392.37,125.38,432,115,2018
43,Product43,Beauty,D,BrandX,323.66,275.98,255,361,2022
44,Product44,Electronics,C,BrandA,166.51,62.43,169,250,2018
45,Product45,Beauty,C,BrandY,333.83,280.26,81,911,2018
46,Product46,Beauty,E,BrandA,383.83,159.1,286,182,2025
47,Product47,Sports,B,BrandA,298.28,31.77,210,675,2022
48,Product48,Sports,D,BrandX,123.55,136.06,259,327,2020
49,Product49,Beauty,B,BrandX,5.12,99.23,476,591,2022
50,Product50,Sports,E,BrandZ,402.41,86.1,37,6,2023
51,Product51,Fashion,D,BrandY,412.2,163.36,286,836,2018
52,Product52,Sports,B,BrandX,350.31,146.11,54,598,2025
53,Product53,Beauty,D,BrandX,42.91,145.63,469,519,2025
54,Product54,Sports,C,BrandX,294.69,28.27,369,386,2021
55,Product55,Sports,C,BrandA,411.41,241.09,212,930,2022
56,Product56,Home,A,BrandY,197.89,145.47,342,369,2024
57,Product57,Home,E,BrandY,103.01,246.63,484,547,2021
58,Product58,Beauty,B,BrandA,295.88,247.73,100,762,2020
59,Product59,Fashion,D,BrandA,414.02,96.51,85,611,2025
60,Product60,Electronics,A,BrandX,29.19,3.3,472,78,2025
61,Product61,Electronics,E,BrandZ,300.49,273.55,213,797,2020
62,Product62,Beauty,E,BrandZ,323.37,228.69,391,782,2023
63,Product63,Fashion,E,BrandY,303.17,33.96,264,220,2021
64,Product64,Fashion,B,BrandZ,326.77,211.11,470,707,2024
65,Product65,Fashion,C,BrandX,317.53,7.97,86,737,2021
66,Product66,Home,A,BrandA,69.55,10.27,63,598,2022
67,Product67,Beauty,B,BrandY,121.29,158.7,447,569,2020
68,Product68,Electronics,D,BrandY,311.4,30.62,192,994,2021
69,Product69,Fashion,B,BrandA,13.76,289.37,414,411,2019
70,Product70,Beauty,D,BrandZ,319.2,268.36,482,478,2022
71,Product71,Electronics,D,BrandY,334.37,195.64,93,681,2025
72,Product72,Home,E,BrandA,123.39,20.99,253,96,2022
73,Product73,Sports,B,BrandA,301.08,98.8,138,657,2019
74,Product74,Electronics,C,BrandZ,269.37,112.77,453,900,2024
75,Product75,Electronics,D,BrandZ,134.04,145.3,49,392,2025
76,Product76,Electronics,E,BrandX,234.17,52.33,121,467,2020
77,Product77,Sports,C,BrandZ,455.26,174.1,39,869,2021
78,Product78,Fashion,B,BrandZ,216.17,131.86,34,370,2021
79,Product79,Sports,C,BrandA,316.77,284.29,358,392,2020
80,Product80,Electronics,B,BrandY,22.5,280.99,266,17,2024
81,Product81,Home,D,BrandA,43.51,170.51,9,183,2025
82,Product82,Electronics,A,BrandX,45.25,194.02,188,142,2019
83,Product83,Home,A,BrandA,390.23,43.06,96,462,2019
84,Product84,Beauty,D,BrandX,178.38,68.55,133,506,2025
85,Product85,Home,C,BrandZ,117.67,270.41,163,333,2024
86,Product86,Electronics,B,BrandY,374.93,210.35,139,61,2019
87,Product87,Sports,A,BrandY,89.13,58.45,298,162,2025
88,Product88,Electronics,B,BrandA,127.01,171.92,80,551,2022
89,Product89,Electronics,D,BrandY,218.31,280.56,91,178,2025
90,Product90,Beauty,C,BrandX,169.06,104.86,256,234,2024
91,Product91,Fashion,B,BrandX,294.77,57.37,148,891,2021
92,Product92,Electronics,C,BrandZ,172.23,282.72,179,59,2018
93,Product93,Beauty,A,BrandA,199.51,139.46,257,227,2022
94,Product94,Sports,B,BrandZ,432.13,126.34,218,238,2025
95,Product95,Beauty,E,BrandY,442.84,81.74,267,567,2022
96,Product96,Beauty,A,BrandZ,414.72,267.69,317,745,2021
97,Product97,Home,C,BrandY,433.09,253.99,79,83,2020
98,Product98,Fashion,D,BrandX,287.02,122.09,167,714,2024
99,Product99,Fashion,E,BrandA,324.89,11.12,104,40,2024
100,Product100,Sports,B,BrandA,280.8,135.1,304,437,2023
101,Product101,Beauty,A,BrandZ,393.87,55.9,338,528,2021
102,Product102,Sports,B,BrandY,277.75,44.53,472,104,2020
103,Product103,Sports,B,BrandX,59.98,119.14,284,536,2021
104,Product104,Fashion,E,BrandY,405.74,31.52,345,381,2022
105,Product105,Fashion,E,BrandZ,381.49,287.32,215,92,2024
106,Product106,Fashion,E,BrandY,411.05,16.17,75,214,2023
107,Product107,Electronics,E,BrandX,99.26,121.61,225,904,2024
108,Product108,Beauty,D,BrandZ,139.45,50.49,336,695,2019
109,Product109,Sports,C,BrandX,151.4,207.27,292,216,2022
